br,tip,pitanje,model,prolaz,tocnost_0_2,utemeljenost_0_2,citiranje_0_2,potpunost_0_2,napomena,auto_citirano,auto_izvan_konteksta,auto_sekundi
12,D,Koje obveze ima poslodavac prije donošenja odluke o poslovno uvjetovanom otkazu?,mistral-nemo,2,,,,,,115,,7.6
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,gemma3:12b,1,,,,,,14 15,,59.6
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,gemma3:12b,2,,,,,,14 15,,35.4
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,qwen3:8b,1,,,,,,14 15,,107.6
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,qwen3:8b,2,,,,,,14 15 16 46,,109.1
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,mistral-nemo,1,,,,,,,,62.7
13,D,Što mora sadržavati ugovor o radu i u kojem obliku se sklapa?,mistral-nemo,2,,,,,,15,,29.2
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,gemma3:12b,1,,,,,,,,47.6
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,gemma3:12b,2,,,,,,,,10.4
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,qwen3:8b,1,,,,,,,,59.8
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,qwen3:8b,2,,,,,,92,,43.3
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,mistral-nemo,1,,,,,,92,,32.6
14,E,Koliko iznosi minimalna plaća u Republici Hrvatskoj?,mistral-nemo,2,,,,,,92,,12.1
15,E,Kada radnica ima pravo na rodiljni dopust?,gemma3:12b,1,,,,,,35,,34.9
15,E,Kada radnica ima pravo na rodiljni dopust?,gemma3:12b,2,,,,,,35,,16.2
15,E,Kada radnica ima pravo na rodiljni dopust?,qwen3:8b,1,,,,,,34 86,,54.3
15,E,Kada radnica ima pravo na rodiljni dopust?,qwen3:8b,2,,,,,,86,,40.5
15,E,Kada radnica ima pravo na rodiljni dopust?,mistral-nemo,1,,,,,,35,,22.1
15,E,Kada radnica ima pravo na rodiljni dopust?,mistral-nemo,2,,,,,,28,28,9.1
